branch_code,code,name,photo,phone,email,address,note
cng,MIT,MIT Press,,,info@mitpress.mit.edu,77 Massachusetts Ave, Cambridge, MA 02139,USA,
cng,Pearson,Pearson Education,,,info@pearson.com,221 River St, Hoboken, NJ 07030,USA,
cng,Springer,Springer Publishing,,,info@springer.com,233 Spring St, New York, NY 10013,USA,
cng,NXBKHXH,NXB Khoa Học Xã Hội,kimdong.png,,info@nxbkhxh.vn,123 Đinh Tiên Hoàng, Hà Nội,VN,
sci,Pearson,Pearson Education,,,info@pearson.com,221 River St, Hoboken, NJ 07030,USA,
sci,Bantam,Bantam Books,,,info@bantambooks.com,1745 Broadway, New York, NY 10019,USA,
lit,NXBTT,NXB Trẻ,nxbgd.png,,info@nxbtre.vn,161B Lý Chính Thắng, Hồ Chí Minh,VN,
lit,MingHo,Ming Ho Publishing,,,info@mingho.com,456 Nathan Rd, Kowloon,HK,
lit,Oxford,Oxford University Press,,,info@oup.com,Great Clarendon St, Oxford OX2 6DP,UK,
lit,Scribner,Scribner Publishing,,,info@scribner.com,1230 Avenue of the Americas, New York, NY 10020,USA,
lit,LittleBrown,Little, Brown and Company,,,info@littlebrown.com,1290 Avenue of the Americas, New York, NY 10104,USA,
lit,HarperCollins,HarperCollins Publishers,,,info@harpercollins.com,195 Broadway, New York, NY 10007,USA,
iit,Pearson,Pearson Education,,,info@pearson.com,221 River St, Hoboken, NJ 07030,USA,
iit,NXBKHXH,NXB Khoa Học Xã Hội,nxbphunu.png,,info@nxbkhxh.vn,123 Đinh Tiên Hoàng, Hà Nội,VN,
iit,Cengage,Cengage Learning,,,info@cengage.com,200 Pier 4 Blvd, Boston, MA 02210,USA,
iit,McGrawHill,McGraw-Hill Education,,,info@mcgraw-hill.com,1325 Avenue of the Americas, New York, NY 10019,USA,
iit,Worth,Worth Publishers,nxbtre.png,,info@worthpublishers.com,41 Madison Ave, New York, NY 10010,USA,
iit,MingHo,Ming Ho Publishing,,,info@mingho.com,456 Nathan Rd, Kowloon,HK,
